,﻿OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax,northing,easting
294,40470,REF01,Hospital,Hospital,NHS Sector,Visible,True,West Cornwall Hospital (Penzance),St Clare Street,,,Penzance,Cornwall,TR18 2PF,50.1220665,-5.542964458,REF,Royal Cornwall Hospitals NHS Trust,01736 874000,rcht.patientexperience@nhs.net,http://www.royalcornwall.nhs.uk,01736874081,30747.91602,146782.4375
1188,8837239,AXG05,Hospital,UNKNOWN,NHS Sector,Visible,False,Glenside Hospital,Warminster Road,South Newton,,Salisbury,Wiltshire,SP2 0QD,51.10705185,-1.875867605,AXG,Wiltshire Health & Care,,,,,134261.0156,408689.4375
696,43803,RYJ04,Hospital,Hospital,NHS Sector,Visible,True,Queen Charlotte's & Chelsea Hospital,Du Cane Road,,,London,,W12 0HS,51.51742172,-0.234706819,RYJ,Imperial College Healthcare NHS Trust,020 3313 1111,,https://www.imperial.nhs.uk/our-locations/queen-charlottes-and-chelsea-hospital,,181363.9688,522471.0
314,40719,RGT01,Hospital,Hospital,NHS Sector,Visible,True,Addenbrooke's,,Hills Road,,Cambridge,Cambridgeshire,CB2 0QQ,52.17513275,0.140753239,RGT,Cambridge University Hospitals NHS Foundation Trust,01223 245151,contactcentre@addenbrookes.nhs.uk,https://www.cuh.nhs.uk/addenbrookes-hospital,,255191.3906,546367.1875
465,41612,RR802,Hospital,Hospital,NHS Sector,Visible,True,Leeds Dental Hospital,Clarendon Way,,,Leeds,West Yorkshire,LS2 9LU,53.80337524,-1.555701375,RR8,Leeds Teaching Hospitals NHS Trust,0113 2440111,,http://www.leedsth.nhs.uk,,434234.9688,429257.7188
472,41724,RRF02,Hospital,Hospital,NHS Sector,Visible,True,Royal Albert Edward Infirmary,,Wigan Lane,,Wigan,Lancashire,WN1 2NN,53.55774307,-2.629076481,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",01942 244000,info@wwl.nhs.uk,http://www.wwl.nhs.uk/hospitals/raei.aspx,01942 822042,407002.1563,358332.75
473,41728,RRF53,Hospital,Hospital,NHS Sector,Visible,True,Wrightington Hospital,,Hall Lane,Appley Bridge,Wigan,Lancashire,WN6 9EP,53.58984756,-2.711692095,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",01942 244000,info@wwl.nhs.uk,http://www.wwl.nhs.uk/hospitals/wrightington/default.aspx,01942 822042,410624.9688,352896.4375
1055,2704209,RRE58,Hospital,Hospital,NHS Sector,Visible,True,The George Bryan Centre ,,Plantation Lane,Mile Oak,Tamworth,,B78 3NG,52.6206665,-1.723852634,RRE,Midlands Partnership NHS Foundation Trust,01827 285598,,http://www.sssft.nhs.uk,,302619.4688,418692.5625
1023,1349252,RH5K6,Hospital,Hospital,Independent Sector,Visible,True,Bridgwater Community Hospital,Bridgwater Community Hospital,Bower Lane,,Bridgwater,Somerset,TA6 4GU,51.13797379,-2.971696138,RH5,Somerset Partnership NHS Foundation Trust,01278 436 555,,http://www.sompar.nhs.uk/our_services/adult_services/hospitals/bridgwater_hospital/,,138140.9375,332026.0938
733,45555,RNNWW,Hospital,Hospital,NHS Sector,Visible,True,Wigton Community Hospital,,Cross Lane,,Wigton,,CA7 9DD,54.83044434,-3.171386957,RNN,Cumbria Partnership NHS Foundation Trust,016973 66600,,http://www.cumbriapartnership.nhs.uk,016973 66601,549040.3125,324761.4688
603,42984,RX3MM,Hospital,Hospital,NHS Sector,Visible,True,"West Park Hospital, Darlington",,Edward Pease Way,,Darlington,Durham,DL2 2TS,54.54356766,-1.59113729,RX3,"Tees, Esk and Wear Valleys NHS Foundation Trust",01325 552000,,http://www.tewv.nhs.uk/westparkhospital,01325 552203,516569.5625,426447.7813
